Id;Vorname;Geschlecht
1; Christel;w
2; Georg;m
3; Anna;w
4; Eduard;m
5; Elisabeth;w
6; Emilie;w
7; Paul;m
8; Walter;m
9; Heinrich;m
10; Herta;w
11; Max;m
12; Paul;m
13; Wilhelm;m
14; Grete;w
15; Eberhard;m
16; Ursula;w
17; Erna;w
18; Ilse verh. Moog;w
19; Johannes;m
20; Ernst;m
21; Otto;m
22; Gustav;m
23; Christel;w
24; Albert;m
25; Wilhelm;m
26; Gerd;m
27; Carl;m
28; Hans;m
29; Hans;m
30; Erich;m
31; Katharina (Käthe);w
32; Ludwig;m
33; Werner;m
34; Walter;m
35; Alma;w
36; Kurt Friedrich;m
37; Kurt;m
38; Hans;m
39; Johannes;m
40; Robert;m
41; Klaus;m
42; Johannes;m
43; Lotte;w
44; Wilhelm;m
45; Eduard;m
46; Hildegard;w
47; Gerhard;m
48; August;m
49; Erich;m
50; Benno;m
51; Josef Peter. Dr.;m
52; Lothar;m
53; Wilhelm;m
54; Auguste;w
55; Wilhelm;m
56; Theo;m
57; Armin;m
58; Cläre;w
59; Maria;w
60; Friedericke;w
61; Adolf;m
62; Max;m
63; Hans;m
64; Paula;w
65; Willi;m
66; Franz;m
67; Josef;m
68; Hermann;m
69; Wilhelm;m
70; Ruth;w
71; Johannes;m
72; Hans;m
73; Werner;m
74; Willy;m
75; Ingemarie;w
76; Heinrich;m
77; Robert;m
78; Brigitte;w
79; Bruno;m
80; Erwin;m
81; Hugo;m
82; Wilhelm;m
83; Gerda;w
84; Wilhelm;m
85; Oskar;m
86; Karl;m
87; Gerda;w
88; Anton;m
89; Henrik;m
90; Martin;m
91; Heinrich;m
92; Antonie;w
93; Gisela;w
94; Gundula;w
95; Carl Peter;m
96; Karl;m
97; Max;m
98; Rudolf;m
99; Julius;m
100; Helmut;m
101; Gretl;w
102; Franz Freiherr Karg von;m
103; Karl-Ewald;m
104; Albrecht;m
105; Friedrich Alfred;m
106; Oskar;m
107; Alexander von der;m
108; Bernhard von der;m
