idn	akten-nr
1012288978                         	HABV_91_1_1634              
1012291685                         	HABV_91_1_1749              
1012562379                         	HABV_91_1_1176              
1034719009                         	HABV_91_1_455               
104378425X                         	HABV_91_1_1477              
1055470646                         	HABV_91_1_1325              
1064907628                         	HABV_91_1_1541              
1067799699                         	HABV_91_1_935               
1073398110                         	HABV_91_1_911               
1073445631                         	HABV_91_1_1577              
1073525120                         	HABV_91_1_1763              
1111544425                         	HABV_91_1_611               
1111928568                         	HABV_91_1_791               
1140755080                         	HABV_91_1_1379              
1151662089                         	HABV_91_1_902               
1158956649                         	HABV_91_1_1191              
116024240                          	HABV_91_1_1123              
116124393                          	HABV_91_1_385               
11622763X                          	HABV_91_1_437               
116240733                          	HABV_91_1_1232              
116374519                          	HABV_91_1_631               
116452544                          	HABV_91_1_306               
116456396                          	HABV_91_1_307               
116484500                          	HABV_91_1_814               
116523417                          	HABV_91_1_832               
116717041                          	HABV_91_1_903               
116863439                          	HABV_91_1_1575              
116930802                          	HABV_91_1_748               
117002364                          	HABV_91_1_1727              
1170695302                         	HABV_91_1_778               
117111562                          	HABV_91_1_1755              
117709255                          	HABV_91_1_336               
118527428                          	HABV_91_1_433               
118551523                          	HABV_91_1_957               
118560948                          	HABV_91_1_1160              
118660969                          	HABV_91_1_218               
118664263                          	HABV_91_1_274               
118730037                          	HABV_91_1_1505              
118777386                          	HABV_91_1_1223              
120236346                          	HABV_91_1_1424              
12122158X                          	HABV_91_1_168               
1226955363                         	HABV_91_1_754               
1231119527                         	HABV_91_1_1830              
1231759771                         	HABV_91_1_1656              
1231896701                         	HABV_91_1_1432              
1247321711                         	HABV_91_1_109               
124732172X                         	HABV_91_1_113               
1247321738                         	HABV_91_1_114               
1247321746                         	HABV_91_1_115               
1247321754                         	HABV_91_1_116               
1247321762                         	HABV_91_1_117               
1247321770                         	HABV_91_1_118               
1247321789                         	HABV_91_1_119               
1247321797                         	HABV_91_1_121               
1247321800                         	HABV_91_1_122               
1247321819                         	HABV_91_1_124               
1247321827                         	HABV_91_1_125               
1247321835                         	HABV_91_1_126               
1247321843                         	HABV_91_1_129               
1247321851                         	HABV_91_1_130               
124732186X                         	HABV_91_1_131               
1247321878                         	HABV_91_1_132               
1247321886                         	HABV_91_1_133               
1247321894                         	HABV_91_1_134               
1247321908                         	HABV_91_1_135               
1247321916                         	HABV_91_1_136               
1247321924                         	HABV_91_1_137               
1247321932                         	HABV_91_1_140               
1247321940                         	HABV_91_1_141               
1247321959                         	HABV_91_1_142               
1247321967                         	HABV_91_1_143               
1247321975                         	HABV_91_1_148               
1247321983                         	HABV_91_1_150               
1247321991                         	HABV_91_1_153               
1247322009                         	HABV_91_1_154               
1247322017                         	HABV_91_1_155               
1247322025                         	HABV_91_1_159               
1247322033                         	HABV_91_1_160               
1247322041                         	HABV_91_1_161               
124732205X                         	HABV_91_1_163               
1247322068                         	HABV_91_1_165               
1247322076                         	HABV_91_1_166               
1247322084                         	HABV_91_1_167               
1247322092                         	HABV_91_1_170               
1247322106                         	HABV_91_1_171               
1247322114                         	HABV_91_1_172               
