idn	akten-nr
1012288978                         	HABV_91_1_1634              
1012291685                         	HABV_91_1_1749              
1012562379                         	HABV_91_1_1176              
1034719009                         	HABV_91_1_455               
104378425X                         	HABV_91_1_1477              
1055470646                         	HABV_91_1_1325              
1064907628                         	HABV_91_1_1541              
1067799699                         	HABV_91_1_935               
1073398110                         	HABV_91_1_911               
1073445631                         	HABV_91_1_1577              
1111544425                         	HABV_91_1_611               
1111928568                         	HABV_91_1_791               
1140755080                         	HABV_91_1_1379              
1151662089                         	HABV_91_1_902               
1158956649                         	HABV_91_1_1191              
116024240                          	HABV_91_1_1123              
116124393                          	HABV_91_1_385               
11622763X                          	HABV_91_1_437               
116240733                          	HABV_91_1_1232              
116244372                          	HABV_91_1_447               
116374519                          	HABV_91_1_631               
116452544                          	HABV_91_1_306               
116456396                          	HABV_91_1_307               
116484500                          	HABV_91_1_814               
116523417                          	HABV_91_1_832               
116717041                          	HABV_91_1_903               
116863439                          	HABV_91_1_1575              
116930802                          	HABV_91_1_748               
117002364                          	HABV_91_1_1727              
1170695302                         	HABV_91_1_778               
117709255                          	HABV_91_1_336               
118527428                          	HABV_91_1_433               
118551523                          	HABV_91_1_957               
118560948                          	HABV_91_1_1160              
118660969                          	HABV_91_1_218               
118664263                          	HABV_91_1_274               
118730037                          	HABV_91_1_1505              
118777386                          	HABV_91_1_1223              
120236346                          	HABV_91_1_1424              
12122158X                          	HABV_91_1_168               
1225351510                         	HABV_91_1_99                
1226955363                         	HABV_91_1_754               
1280491019                         	HABV_91_1_7                 
1280491027                         	HABV_91_1_10                
1280491035                         	HABV_91_1_12                
1280491043                         	HABV_91_1_13                
1280491051                         	HABV_91_1_14                
128049106X                         	HABV_91_1_16                
1280491078                         	HABV_91_1_21                
1280491086                         	HABV_91_1_26                
1280491094                         	HABV_91_1_28                
1280491108                         	HABV_91_1_38                
1280491116                         	HABV_91_1_39                
1280491124                         	HABV_91_1_41                
1280491132                         	HABV_91_1_43                
1280491140                         	HABV_91_1_45                
1280491159                         	HABV_91_1_47                
1280491167                         	HABV_91_1_48                
1280491175                         	HABV_91_1_50                
1280491183                         	HABV_91_1_51                
1280491191                         	HABV_91_1_52                
1280491205                         	HABV_91_1_54                
1280491213                         	HABV_91_1_58                
1280491221                         	HABV_91_1_61                
128049123X                         	HABV_91_1_62                
1280491248                         	HABV_91_1_64                
1280491256                         	HABV_91_1_66                
1280491264                         	HABV_91_1_68                
1280491272                         	HABV_91_1_69                
1280491280                         	HABV_91_1_70                
1280491299                         	HABV_91_1_72                
1280491302                         	HABV_91_1_74                
1280491310                         	HABV_91_1_77                
1280491329                         	HABV_91_1_80                
1280491337                         	HABV_91_1_82                
1280491345                         	HABV_91_1_83                
1280491353                         	HABV_91_1_84                
1280491361                         	HABV_91_1_85                
128049137X                         	HABV_91_1_87                
1280491388                         	HABV_91_1_88                
1280491396                         	HABV_91_1_89                
128049140X                         	HABV_91_1_90                
1280491418                         	HABV_91_1_91                
1280491426                         	HABV_91_1_92                
1280491434                         	HABV_91_1_93                
1280491442                         	HABV_91_1_101               
1280491450                         	HABV_91_1_102               
